Authors,Count
Angela Brazil,1
Angela Brooksbank,1
Angela C. Santomero,1
Angela Carter,1
Angela Dean,1
Angela Degand,1
Angela E. McHolm,1
Angela Elwell Hunt,1
Angela Fae Moore,1
Angela Fisher,1
Angela Franks,1
Angela Gair,1
Angela Greenwood,1
Angela Hobday,1
Angela Huth,1
Angela Johnson,1
Angela King,1
Angela L. Coe,1
Angela Lambert,1
Angela McAllister,1
Angela McRobbie,1
Angela Moore,1
Angela Nairne Grigor,1
Angela Shelf Medearis,1
Angela Sommer-Bodenburg,1
Angela Southall,1
Angela Thirkell,1
Angela V. John,1
Angela Wilkes,1
Angela Woodhull,1
Angela Woollacott,1
Angelica Danton,1
Angelica Duran,1
Angelica Garnett,1
Angelica Pozo,1
Angelica Zander Rudenstine,1
Angelika  Maria SilverWolf,1
Angelika Mechtel,1
Angelika Muthesius,1
Angelika Taschen,1
